year,inf_rate,exchange_rate,exports,ind_prod,interest_rate,money_supply,imports,for_ex_reserve
1/1/2012,6.25698324,95.51299886,11.84238588,0.101317119,6,334230.1697,42952.46934,285180.0437
2/1/2012,8.031674208,98.16605952,8.39340253,3.340080976,9.5,350655.7384,40118.53652,294368.5799
3/1/2012,9.049773756,96.61677364,-5.191347371,10.08814887,9.5,351735.6816,42380.69,299053.6797
4/1/2012,9.764309764,95.30253238,1.373404009,-14.85765125,9,344848.1331,38171.03758,299580.5765
5/1/2012,9.799554566,92.825,-6.41164702,3.76175549,9,328532.1195,42187.32125,297014.6177
6/1/2012,10.15452539,92.53402714,-6.074243698,5.941591141,9,329419.3671,36157.37068,291640.3301
7/1/2012,10.13071895,95.27615295,-12.58833049,-11.31178707,9,320297.7728,40619.44456,290782.2852
8/1/2012,10.24811219,95.12387565,-6.59663182,0.42872454,9,323060.899,37307.26575,291647.1298
9/1/2012,9.701492537,95.781948,-6.246686389,8.537886873,9,328089.2364,42051.44838,285845.8142
10/1/2012,9.282700422,98.18089196,1.696341856,2.654867262,9,333398.8079,44243.75208,300914.8862
11/1/2012,9.558823529,95.76636795,-0.080651431,-4.693486588,9,334322.8468,40454.0064,293122.8723
12/1/2012,10.45406547,94.87526571,0.362086897,-7.738693467,9,338558.2008,43050.57367,296342.5257
1/1/2013,9.989484753,96.42637435,1.560896294,3.159041393,8.75,339618.4698,44754.68125,290385.4026
2/1/2013,10.2617801,97.736628,5.851888842,-1.900739173,8.75,349444.97,40791.99,290726.2688
3/1/2013,9.439834025,97.84585762,5.901793278,11.19483315,8.5,355617.9476,40947.79,291866.1078
4/1/2013,8.486707566,98.36665273,3.079555808,-3.000968055,8.5,356972.8442,41577.14949,293325.5528
5/1/2013,8.417849899,98.25743761,0.408937698,-0.998003987,8.25,356609.59,43987.09793,295808.8188
6/1/2013,9.519038076,94.440819,-3.714660516,3.830645158,8.25,344149.2888,35304.35622,288819.6151
7/1/2013,9.792284866,94.11840283,11.840786,-4.466019416,10.25,325557.0114,38326.44782,283859.5135
8/1/2013,9.980430528,90.17260136,13.84731114,-8.536585371,10.25,309171.6565,37026.02322,291997.0897
9/1/2013,10.49562682,89.143115,12.98650283,13.11111112,9.5,306251.0998,34258.24366,273439.8567
10/1/2013,10.81081081,92.09690717,14.34379023,6.679764245,8.75,319515.1763,38075.01666,280648.4444
11/1/2013,11.50527325,92.4694,4.08970188,-6.813996317,8.75,320374.1648,33772.91606,290104.1142
12/1/2013,9.464627151,91.73405955,3.674823183,-2.569169959,8.75,328370.5166,36580.09366,294285.8067
1/1/2014,8.604206501,90.97083543,4.331242109,-0.101419885,9,329992.2551,36346.32445,292808.8726
2/1/2014,7.882241216,90.57455125,-4.932848422,2.538071068,9,331540.5008,33665.55,293923.1905
3/1/2014,8.246445498,92.66259762,-0.656092826,5.841584161,9,345014.2417,41294.46,299992.1244
4/1/2014,8.482563619,94.07891864,5.313048977,-3.367633306,9,358618.4097,35795.63828,310939.8407
5/1/2014,8.325537886,96.24274932,12.42348722,-3.388189736,9,371277.2184,39058.85464,310886.6934
6/1/2014,6.770356816,96.34724095,8.034763465,5.511022041,9,366854.5467,38352.39011,319247.6317
7/1/2014,7.387387387,97.76942043,-0.075023872,-9.781576447,9,358094.2698,40068.00507,321785.6216
8/1/2014,7.028469751,97.92894143,1.850267789,-9.263157896,9,354012.0709,37472.7822,317343.422
9/1/2014,5.628847845,98.71946068,2.678963167,26.33410673,9,354532.0341,43341.74837,317936.9959
10/1/2014,4.616724739,98.80772609,-5.696509248,-1.377410475,9,357584.2312,39468.75546,316633.7498
11/1/2014,3.267411866,99.88086875,9.508418778,-9.776536306,9,359065.8984,42722.49263,317299.1498
12/1/2014,4.279475983,98.95094761,-0.834559137,2.063983488,9,356256.1496,35333.27202,323524.7683
1/1/2015,5.193661972,102.2502157,-9.208858628,-1.516683526,8.75,359663.7695,32265.37127,326954.7723
2/1/2015,5.36971831,103.2594943,-13.19435093,-3.696098557,8.75,368027.843,28725.3781,336867.7459
3/1/2015,5.253940455,104.1539696,-20.78654596,16.20469083,8.5,374489.9609,35428.72022,342129.1443
4/1/2015,4.865334492,103.3740896,-14.28833932,-7.1559633,8.5,380609.9481,33506.50509,352955.0744
5/1/2015,5.008635579,101.4275102,-19.59424282,-6.126482216,8.5,379064.7414,32837.75729,352149.4154
6/1/2015,5.398457584,102.8022423,-13.8965409,11.78947368,8.25,375440.9235,33536.23371,355272.5032
7/1/2015,3.691275168,104.6941565,-9.817648555,-12.33521657,8.25,374642.3602,36372.06989,355001.6115
8/1/2015,3.740648379,104.4520424,-19.54358017,-4.296455424,8.25,367489.796,33981.72868,356376.8586
9/1/2015,4.412989176,103.6027971,-24.29706621,20.65095399,7.75,362934.3764,32036.4455,346697.0546
10/1/2015,4.995836803,105.3078198,-17.20493446,-0.837209301,7.75,377835.8569,31148.32875,354089.5824
11/1/2015,5.412156536,105.7470217,-26.19369757,-4.409005633,7.75,374839.4856,29896.40497,352269.289
